response_id	response_raw	response_no	response_separate	code
6	Workflow: much more thought goes into planning of study, which makes workflow more logical. Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	1	Workflow: much more thought goes into planning of study, which makes workflow more logical.	more thought through plan
6	Workflow: much more thought goes into planning of study, which makes workflow more logical. Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	2	Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end	more time consuming but more accurate
6	Workflow: much more thought goes into planning of study, which makes workflow more logical. Data management: v timeconsuming to get it right - and leads to a lot more data-checking. So slower but more accurate, and well-documented dataset at the end Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	3	Quality of research: much better because of improvements to workflow and data management - esp advance planning of analysis	more planned workflow, data management, study design
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	1	As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials).	insufficient information
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	2	I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally.	more clear hypotheses
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	3	I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance).	being more confident about preset exclusion criteria
7	I love preregistering. I haven't tried publishing a 'preregistered report' because I think this would disrupt my flow of data collection, but I do ensure that my publications reflect the preregistration and account for any deviations. As a vision scientist, the pre-registration more aware of the need to properly pilot the experiment before running real participants (for example, finding the best stimulus intensities and number of trials). I make sure to set out my main hypotheses and the appropriate comparisons, if I get lost in data exploration I return to the preregistration to remind myself what the aims were originally. I also feel more confident rejecting participants from further analysis because I preregister criteria for rejection (for example, for chance level performance). When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	4	When it comes to writing up, I take the preregistered methods and change future tense to past, and that way I don't waste time because I forgot some detail such as monitor resolution.	easier to write the manuscript
8	I have now done a couple of preregistered studies, and I did not experience much differences with the non-preregistered ones. It probably helped me to think more critically about the analysis beforehand, having to write it down explicitly, but the other steps were not much different in my experience. One disadvantage that I experienced was during the review process, where I got a comment about the preregistration, which I would otherwise not have received.	1	It probably helped me to think more critically about the analysis beforehand, having to write it down explicitly	more thought through and detaild analysis
8	I have now done a couple of preregistered studies, and I did not experience much differences with the non-preregistered ones. It probably helped me to think more critically about the analysis beforehand, having to write it down explicitly, but the other steps were not much different in my experience. One disadvantage that I experienced was during the review process, where I got a comment about the preregistration, which I would otherwise not have received.	2	One disadvantage that I experienced was during the review process, where I got a comment about the preregistration, which I would otherwise not have received.	negative comment by the reviewer
9	To me pre-registration is a bit like chess: you have to think about a lot of potential “moves” in advance (different aspects of the design, how participants might react, what to do if you have a lot of missing values, violations of assumptions, etc…). A lot of scenarios might never come to fruition just as your opponent in chess picks one particular line, and in that sense you may have wasted time thinking about all these alternatives. On the other hand, by carefully considering all these scenarios, you are ready for (almost) everything, and are less likely to make a fatal mistake (both in chess and in terms of panning and conducting a study). Also, the more experience you get, the better you become in anticipating different moves. So, my workflow is different: with pre-reg (almost) every design choice, and analysis pipeline is specified before the data collection (except for pilot data), whereas my non pre-reg work is more loosely specified. Note that pre-reg versus non-pre-reg correlates with my maturation as a researcher. So even though the data-management of my pre-reg work is better on average, I can’t say it’s because of pre-reg. If I would have to guess, it’s more about focusing on transparency in general that led me to improve my data-management and pre-reg confirmatory work. Disclaimer: I also teach about pre-reg, so I’m probably biased; also, you might get some socially desirable responses seeing that you are pre-reg advocates yourselves (if I’m not mistaken). Anyway, good luck with the project. Let me know if you need any additional information.	1	To me pre-registration is a bit like chess: you have to think about a lot of potential “moves” in advance (different aspects of the design, how participants might react, what to do if you have a lot of missing values, violations of assumptions, etc…). A lot of scenarios might never come to fruition just as your opponent in chess picks one particular line, and in that sense you may have wasted time thinking about all these alternatives. On the other hand, by carefully considering all these scenarios, you are ready for (almost) everything, and are less likely to make a fatal mistake (both in chess and in terms of panning and conducting a study). Also, the more experience you get, the better you become in anticipating different moves. So, my workflow is different: with pre-reg (almost) every design choice, and analysis pipeline is specified before the data collection (except for pilot data), whereas my non pre-reg work is more loosely specified.	more specified design and analysis
9	To me pre-registration is a bit like chess: you have to think about a lot of potential “moves” in advance (different aspects of the design, how participants might react, what to do if you have a lot of missing values, violations of assumptions, etc…). A lot of scenarios might never come to fruition just as your opponent in chess picks one particular line, and in that sense you may have wasted time thinking about all these alternatives. On the other hand, by carefully considering all these scenarios, you are ready for (almost) everything, and are less likely to make a fatal mistake (both in chess and in terms of panning and conducting a study). Also, the more experience you get, the better you become in anticipating different moves. So, my workflow is different: with pre-reg (almost) every design choice, and analysis pipeline is specified before the data collection (except for pilot data), whereas my non pre-reg work is more loosely specified. Note that pre-reg versus non-pre-reg correlates with my maturation as a researcher. So even though the data-management of my pre-reg work is better on average, I can’t say it’s because of pre-reg. If I would have to guess, it’s more about focusing on transparency in general that led me to improve my data-management and pre-reg confirmatory work. Disclaimer: I also teach about pre-reg, so I’m probably biased; also, you might get some socially desirable responses seeing that you are pre-reg advocates yourselves (if I’m not mistaken). Anyway, good luck with the project. Let me know if you need any additional information.	2	If I would have to guess, it’s more about focusing on transparency in general that led me to improve my data-management and pre-reg confirmatory work.	improved data management
10	workflow: For pre-registered studies, I make sure I the analysis script is ready -- or almost ready -- before starting data collection. This is easy when I have done similar studies before (e.g., with the same paradigm), but when I haven't, I usually simulate some data to test the analysis script. For exploratory (not pre-registered studies) I don't do all this. data management: I can't think of any big differences (e.g., in both cases, I try to share code and data on osf -- so, I would need to go through the same steps). quality of research: Since doing pre-registered studies, I feel much more confident in the conclusions that I draw from my confirmatory research.	1	workflow: For pre-registered studies, I make sure I the analysis script is ready -- or almost ready -- before starting data collection. This is easy when I have done similar studies before (e.g., with the same paradigm), but when I haven't, I usually simulate some data to test the analysis script. For exploratory (not pre-registered studies) I don't do all this.	analysis script is ready before data collection
10	workflow: For pre-registered studies, I make sure I the analysis script is ready -- or almost ready -- before starting data collection. This is easy when I have done similar studies before (e.g., with the same paradigm), but when I haven't, I usually simulate some data to test the analysis script. For exploratory (not pre-registered studies) I don't do all this. data management: I can't think of any big differences (e.g., in both cases, I try to share code and data on osf -- so, I would need to go through the same steps). quality of research: Since doing pre-registered studies, I feel much more confident in the conclusions that I draw from my confirmatory research.	2	quality of research: Since doing pre-registered studies, I feel much more confident in the conclusions that I draw from my confirmatory research.	more trust in the confirmatory results
11	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	1	pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process.	better study design
11	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	2	Additionally, I'm convinced it leads to better inference because of the interpretability of p-values.	better inference
11	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	3	Finally, I feel it lends credibility to the eventual results and manuscripts.	more credible results
11	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	4	Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.	more reproducible methods and cleaner analysis code
12	I don’t find any noticeable difference in the amount of work required for a preregistered vs. a non-preregistered project, rather it’s mainly just a matter of doing things in a different order. Specifically one needs to write the methods/procedure text before instead of after data collection. I can’t really think of any differences in terms of data management. In terms of quality, obviously it makes a big difference, for example by forcing one to test a larger sample than might otherwise be the case, and tying one’s hands in terms of data mining.	1	In terms of quality, obviously it makes a big difference, for example by forcing one to test a larger sample than might otherwise be the case, and tying one’s hands in terms of data mining.	make you have larger sample size
13	Here are my experiences with respect to your questions: - Workflow: Preregistrations (should) have a higher standard of writing than personal project notes of non-preregistered projects. The necessity to write a preregistration before data collection begins slows these projects down. At least in my experience, the preregistration documents cannot be recycled for the paper. Otherwise, the workflow is independent of the presence of a preregistration. - Data management: I am a proponent of open science and make as much material from my projects available as possible, in the most useful format possible. Therefore, there are no differences between preregistered and non-preregistered studies. - Quality of research: I do not see a difference in the quality of research between preregistered and not-preregistered projects and I do not decide whether to preregister or not based on the quality of the research question.	1	The necessity to write a preregistration before data collection begins slows these projects down.	slows the project down
14	I have now completed several studies that I have preregistered and have completed a few Registered Reports. The major difference between this research and non-preregistered research is that I am forced to spend a lot more time planning and thinking about my preregistered studies. This planning and thinking process has been extremely beneficial to my research and I often find it makes the writing process easier after I have the data. Despite what many people think, I have not found that preregistration takes much time, not do I think it has stifled my creativity. I don't know if preregistration has improved my data management directly.	1	The major difference between this research and non-preregistered research is that I am forced to spend a lot more time planning and thinking about my preregistered studies.	more time spent on planning
14	I have now completed several studies that I have preregistered and have completed a few Registered Reports. The major difference between this research and non-preregistered research is that I am forced to spend a lot more time planning and thinking about my preregistered studies. This planning and thinking process has been extremely beneficial to my research and I often find it makes the writing process easier after I have the data. Despite what many people think, I have not found that preregistration takes much time, not do I think it has stifled my creativity. I don't know if preregistration has improved my data management directly.	2	This planning and thinking process has been extremely beneficial to my research and I often find it makes the writing process easier after I have the data.	easier to write the manuscript
15	In my experience, our research became more rigorous for preregistered projects because the registration made us specify and write down the hypotheses, in/exclusion criteria, and analysis pipelines in much more detail than we would have usually done. Spending more time planing the experiments before conducting them also helped streamline the workflow and thus facilitated collecting and analyzing the data in a team.	1	In my experience, our research became more rigorous for preregistered projects because the registration made us specify and write down the hypotheses, in/exclusion criteria, and analysis pipelines in much more detail than we would have usually done.	more rigorous study plan
15	In my experience, our research became more rigorous for preregistered projects because the registration made us specify and write down the hypotheses, in/exclusion criteria, and analysis pipelines in much more detail than we would have usually done. Spending more time planing the experiments before conducting them also helped streamline the workflow and thus facilitated collecting and analyzing the data in a team.	2	Spending more time planing the experiments before conducting them also helped streamline the workflow and thus facilitated collecting and analyzing the data in a team.	better organized team work
16	Pre-registration generally streamlines the workflow and makes things go faster; this is because there are many fewer exploratory analyses to consider, so there is objectively less data analysis to conduct. The data management is about the same for me, as I am relatively meticulous about data management regardless of whether or not I preregister. The quality of the research is mixed; on one hand, preregistration makes the preregistered analysis more trustworthy for reasons I'm sure you're well aware of. However, the peer review process suggested an alternative analysis strategy which was, frankly, better than what I had originally preregistered. I reported it as an exploratory analysis, but it did suggest to me that preregistering a subpar analysis might not lead to high quality research. Presumably registered reports would partially mitigate this issue. So preregistration was a net positive for quality, but has potential pitfalls if it is rushed.	1	Pre-registration generally streamlines the workflow and makes things go faster; this is because there are many fewer exploratory analyses to consider, so there is objectively less data analysis to conduct.	makes the project faster
16	Pre-registration generally streamlines the workflow and makes things go faster; this is because there are many fewer exploratory analyses to consider, so there is objectively less data analysis to conduct. The data management is about the same for me, as I am relatively meticulous about data management regardless of whether or not I preregister. The quality of the research is mixed; on one hand, preregistration makes the preregistered analysis more trustworthy for reasons I'm sure you're well aware of. However, the peer review process suggested an alternative analysis strategy which was, frankly, better than what I had originally preregistered. I reported it as an exploratory analysis, but it did suggest to me that preregistering a subpar analysis might not lead to high quality research. Presumably registered reports would partially mitigate this issue. So preregistration was a net positive for quality, but has potential pitfalls if it is rushed.	2	The quality of the research is mixed; on one hand, preregistration makes the preregistered analysis more trustworthy for reasons I'm sure you're well aware of. However, the peer review process suggested an alternative analysis strategy which was, frankly, better than what I had originally preregistered. I reported it as an exploratory analysis, but it did suggest to me that preregistering a subpar analysis might not lead to high quality research. Presumably registered reports would partially mitigate this issue. So preregistration was a net positive for quality, but has potential pitfalls if it is rushed.	potentially worse quality if not the best analysis method was preregistered
17	I have pre-registered three projects, of which two are registered reports. I thought that I got better each time at dealing with the process - and I definitely prefer registered reports to pre-registration, as it allows us to improve design based on reviewer feedback. Workflow: I think workflow is improved by pre-registration, both for students and for me! It forces us to set clear and addressable hypotheses. It also forces to confront issues of power early on. Data management: I don’t think that pre-registration changes how I manage data, although the need to make data open access does lead to better data curation. Quality of research: Pre-registration doesn’t allow you to delude yourself about the pattern of results that you get. This is more of a danger than we believe it is. For my BMC Psychology paper, I remember thinking my results were entirely in line with what I expected, only to go back to my pre-registration and see they were not the hypotheses I specified.	1	I think workflow is improved by pre-registration, both for students and for me	improved workflow
17	I have pre-registered three projects, of which two are registered reports. I thought that I got better each time at dealing with the process - and I definitely prefer registered reports to pre-registration, as it allows us to improve design based on reviewer feedback. Workflow: I think workflow is improved by pre-registration, both for students and for me! It forces us to set clear and addressable hypotheses. It also forces to confront issues of power early on. Data management: I don’t think that pre-registration changes how I manage data, although the need to make data open access does lead to better data curation. Quality of research: Pre-registration doesn’t allow you to delude yourself about the pattern of results that you get. This is more of a danger than we believe it is. For my BMC Psychology paper, I remember thinking my results were entirely in line with what I expected, only to go back to my pre-registration and see they were not the hypotheses I specified.	2	It forces us to set clear and addressable hypotheses.	more clear hypotheses
17	I have pre-registered three projects, of which two are registered reports. I thought that I got better each time at dealing with the process - and I definitely prefer registered reports to pre-registration, as it allows us to improve design based on reviewer feedback. Workflow: I think workflow is improved by pre-registration, both for students and for me! It forces us to set clear and addressable hypotheses. It also forces to confront issues of power early on. Data management: I don’t think that pre-registration changes how I manage data, although the need to make data open access does lead to better data curation. Quality of research: Pre-registration doesn’t allow you to delude yourself about the pattern of results that you get. This is more of a danger than we believe it is. For my BMC Psychology paper, I remember thinking my results were entirely in line with what I expected, only to go back to my pre-registration and see they were not the hypotheses I specified.	3	It also forces to confront issues of power early on.	higher powered study
17	I have pre-registered three projects, of which two are registered reports. I thought that I got better each time at dealing with the process - and I definitely prefer registered reports to pre-registration, as it allows us to improve design based on reviewer feedback. Workflow: I think workflow is improved by pre-registration, both for students and for me! It forces us to set clear and addressable hypotheses. It also forces to confront issues of power early on. Data management: I don’t think that pre-registration changes how I manage data, although the need to make data open access does lead to better data curation. Quality of research: Pre-registration doesn’t allow you to delude yourself about the pattern of results that you get. This is more of a danger than we believe it is. For my BMC Psychology paper, I remember thinking my results were entirely in line with what I expected, only to go back to my pre-registration and see they were not the hypotheses I specified.	4	Quality of research: Pre-registration doesn’t allow you to delude yourself about the pattern of results that you get. This is more of a danger than we believe it is. For my BMC Psychology paper, I remember thinking my results were entirely in line with what I expected, only to go back to my pre-registration and see they were not the hypotheses I specified.	helps avoid unintentional harking
18	Here is my perspective: I strongly support pre-registration and the adoption of other methodological innovations (new and not so new) that help increase the confidence in research and our fields of science. Pre-registration forces me to develop more materials up front, writing the hypotheses, methods, and analyses sections as they would appear in an eventual manuscript. This takes considerable time, I am very busy and work on a wide variety of projects, so I usually have to write new material. I do not have the time to pre-register everything, so I tend to pre-register projects that I am excited about and believe are theoretically innovative. I tend not to pre-register exploratory studies or ones where the results are not surprising and add incrementally to an established literature. The benefits of pre-registration to my own work quality is that I have to clearly specify the hypotheses and make clear connections among the hypotheses, methods, and analyses before data collection. Sometimes I have an idea and add a new measure at the beginning of data collection, after I have pre-registered the project. I describe this appropriately in the manuscript and have not had any problematic issues with reviewers on this.	1	Pre-registration forces me to develop more materials up front, writing the hypotheses, methods, and analyses sections as they would appear in an eventual manuscript.	more developed study upfront
18	Here is my perspective: I strongly support pre-registration and the adoption of other methodological innovations (new and not so new) that help increase the confidence in research and our fields of science. Pre-registration forces me to develop more materials up front, writing the hypotheses, methods, and analyses sections as they would appear in an eventual manuscript. This takes considerable time, I am very busy and work on a wide variety of projects, so I usually have to write new material. I do not have the time to pre-register everything, so I tend to pre-register projects that I am excited about and believe are theoretically innovative. I tend not to pre-register exploratory studies or ones where the results are not surprising and add incrementally to an established literature. The benefits of pre-registration to my own work quality is that I have to clearly specify the hypotheses and make clear connections among the hypotheses, methods, and analyses before data collection. Sometimes I have an idea and add a new measure at the beginning of data collection, after I have pre-registered the project. I describe this appropriately in the manuscript and have not had any problematic issues with reviewers on this.	2	The benefits of pre-registration to my own work quality is that I have to clearly specify the hypotheses and make clear connections among the hypotheses, methods, and analyses before data collection. Sometimes I have an idea and add a new measure at the beginning of data collection, after I have pre-registered the project. I describe this appropriately in the manuscript and have not had any problematic issues with reviewers on this.	more clear connection between the hypotheses, the desgin, and the analysis
19	Our pre-defined (and properly powered) recruitment targets have made the workflow far easier to manage than our non-preregistered studies - these fundamental aspects of experimental design are no longer simply guess-work. Data analysis scripts are now coded up before we get the final datasets, and analysis is performed within an afternoon rather than spending months searching for significant findings. The quality of my research has undoubtedly improved with the introduction of preregistration, specifically that I am now confident of the results that I publish, and I am a much happier scientist because of this!	1	Our pre-defined (and properly powered) recruitment targets have made the workflow far easier to manage than our non-preregistered studies - these fundamental aspects of experimental design are no longer simply guess-work.	higher powered study
19	Our pre-defined (and properly powered) recruitment targets have made the workflow far easier to manage than our non-preregistered studies - these fundamental aspects of experimental design are no longer simply guess-work. Data analysis scripts are now coded up before we get the final datasets, and analysis is performed within an afternoon rather than spending months searching for significant findings. The quality of my research has undoubtedly improved with the introduction of preregistration, specifically that I am now confident of the results that I publish, and I am a much happier scientist because of this!	2	Data analysis scripts are now coded up before we get the final datasets, and analysis is performed within an afternoon rather than spending months searching for significant findings.	faster analysis
19	Our pre-defined (and properly powered) recruitment targets have made the workflow far easier to manage than our non-preregistered studies - these fundamental aspects of experimental design are no longer simply guess-work. Data analysis scripts are now coded up before we get the final datasets, and analysis is performed within an afternoon rather than spending months searching for significant findings. The quality of my research has undoubtedly improved with the introduction of preregistration, specifically that I am now confident of the results that I publish, and I am a much happier scientist because of this!	3	The quality of my research has undoubtedly improved with the introduction of preregistration, specifically that I am now confident of the results that I publish, and I am a much happier scientist because of this!	more confident in own results
20	Workflow: It seems like preregistration has helped me to "front-load" project work, such that I spend more time thinking about how the hypothesis to be tested relates to the study design and analysis plan before the data are collected. In my experience, this has caused an increase in the quality of my work. Specifically, tightening the link between data - informative study design - informative analysis plan. However, I also completed my PhD and have learned a lot in academia at the same time as I've learned to use preregistration, so it's hard to evaluate the counterfactual (i.e., would my work be slightly less improved now if I'd never used preregistration - hard to tell). Data management: To be honest, the type of preregistration I've used (hypotheses, methods, and analysis plans) has not really affected the way I approach data management. That is, even in projects where preregistration hasn't been used, my data curating and sharing practices have been much the same. Quality of research: I guess I already addressed how preregistration has improved the quality of my work in the heading "workflow". I would like to report a negative experience about my use of preregistration (where it made the quality of my work actively worse), but honestly I can't think of any. The only downside to preregistration that I've experienced is cases where I've preregistered a suboptimal analysis plan (and this coming to light after data collection), resulting in me noting this sub-optimality in the writing up of the project for publication. This downside is purely to my self-interest though, as it probably exposes that I didn't think hard enough prior to data collection. I find it hard to believe I would've thought any harder in the absence of preregistration, so I don't judge this as negatively affecting the quality of my work. In fact, since it forces transparency, it's probably a bonus to the work overall!	1	It seems like preregistration has helped me to "front-load" project work, such that I spend more time thinking about how the hypothesis to be tested relates to the study design and analysis plan before the data are collected.	more thought through study
