response_id	response_raw	response_01	response_02	response_03	response_04	response_05	response_06	response_07	response_08	response_09	response_10
11	In my experience, pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process. Additionally, I'm convinced it leads to better inference because of the interpretability of p-values. Finally, I feel it lends credibility to the eventual results and manuscripts. So: workflow is front-ended, but not overall more. Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general. 	pre-registered studies are more work up-front: work that during my training I would have done during data analysis and writing. Some of this work affects the ideal study design, so it's better for that reason that it's earlier in the process.	Additionally, I'm convinced it leads to better inference because of the interpretability of p-values.	Finally, I feel it lends credibility to the eventual results and manuscripts.	Data management: because I expect others to see it, I use more reproducible methods and better code, and that probably helps me more than anyone. In terms of quality of research, I find it is higher, in general.						
12	I don’t find any noticeable difference in the amount of work required for a preregistered vs. a non-preregistered project, rather it’s mainly just a matter of doing things in a different order. Specifically one needs to write the methods/procedure text before instead of after data collection. I can’t really think of any differences in terms of data management. In terms of quality, obviously it makes a big difference, for example by forcing one to test a larger sample than might otherwise be the case, and tying one’s hands in terms of data mining.	In terms of quality, obviously it makes a big difference, for example by forcing one to test a larger sample than might otherwise be the case, and tying one’s hands in terms of data mining.									
13	Here are my experiences with respect to your questions: - Workflow: Preregistrations (should) have a higher standard of writing than personal project notes of non-preregistered projects. The necessity to write a preregistration before data collection begins slows these projects down. At least in my experience, the preregistration documents cannot be recycled for the paper. Otherwise, the workflow is independent of the presence of a preregistration. - Data management: I am a proponent of open science and make as much material from my projects available as possible, in the most useful format possible. Therefore, there are no differences between preregistered and non-preregistered studies. - Quality of research: I do not see a difference in the quality of research between preregistered and not-preregistered projects and I do not decide whether to preregister or not based on the quality of the research question.	The necessity to write a preregistration before data collection begins slows these projects down.									
14	I have now completed several studies that I have preregistered and have completed a few Registered Reports. The major difference between this research and non-preregistered research is that I am forced to spend a lot more time planning and thinking about my preregistered studies. This planning and thinking process has been extremely beneficial to my research and I often find it makes the writing process easier after I have the data. Despite what many people think, I have not found that preregistration takes much time, not do I think it has stifled my creativity. I don't know if preregistration has improved my data management directly. 	The major difference between this research and non-preregistered research is that I am forced to spend a lot more time planning and thinking about my preregistered studies.	This planning and thinking process has been extremely beneficial to my research and I often find it makes the writing process easier after I have the data.								
15	In my experience, our research became more rigorous for preregistered projects because the registration made us specify and write down the hypotheses, in/exclusion criteria, and analysis pipelines in much more detail than we would have usually done. Spending more time planing the experiments before conducting them also helped streamline the workflow and thus facilitated collecting and analyzing the data in a team.	In my experience, our research became more rigorous for preregistered projects because the registration made us specify and write down the hypotheses, in/exclusion criteria, and analysis pipelines in much more detail than we would have usually done.	Spending more time planing the experiments before conducting them also helped streamline the workflow and thus facilitated collecting and analyzing the data in a team.								
16	Pre-registration generally streamlines the workflow and makes things go faster; this is because there are many fewer exploratory analyses to consider, so there is objectively less data analysis to conduct. The data management is about the same for me, as I am relatively meticulous about data management regardless of whether or not I preregister. The quality of the research is mixed; on one hand, preregistration makes the preregistered analysis more trustworthy for reasons I'm sure you're well aware of. However, the peer review process suggested an alternative analysis strategy which was, frankly, better than what I had originally preregistered. I reported it as an exploratory analysis, but it did suggest to me that preregistering a subpar analysis might not lead to high quality research. Presumably registered reports would partially mitigate this issue. So preregistration was a net positive for quality, but has potential pitfalls if it is rushed. 	Pre-registration generally streamlines the workflow and makes things go faster; this is because there are many fewer exploratory analyses to consider, so there is objectively less data analysis to conduct.	The quality of the research is mixed; on one hand, preregistration makes the preregistered analysis more trustworthy for reasons I'm sure you're well aware of. However, the peer review process suggested an alternative analysis strategy which was, frankly, better than what I had originally preregistered. I reported it as an exploratory analysis, but it did suggest to me that preregistering a subpar analysis might not lead to high quality research. Presumably registered reports would partially mitigate this issue. So preregistration was a net positive for quality, but has potential pitfalls if it is rushed.								
17	I have pre-registered three projects, of which two are registered reports. I thought that I got better each time at dealing with the process - and I definitely prefer registered reports to pre-registration, as it allows us to improve design based on reviewer feedback. Workflow: I think workflow is improved by pre-registration, both for students and for me! It forces us to set clear and addressable hypotheses. It also forces to confront issues of power early on. Data management: I don’t think that pre-registration changes how I manage data, although the need to make data open access does lead to better data curation. Quality of research: Pre-registration doesn’t allow you to delude yourself about the pattern of results that you get. This is more of a danger than we believe it is. For my BMC Psychology paper, I remember thinking my results were entirely in line with what I expected, only to go back to my pre-registration and see they were not the hypotheses I specified.	I think workflow is improved by pre-registration, both for students and for me	It forces us to set clear and addressable hypotheses.	It also forces to confront issues of power early on.	Quality of research: Pre-registration doesn’t allow you to delude yourself about the pattern of results that you get. This is more of a danger than we believe it is. For my BMC Psychology paper, I remember thinking my results were entirely in line with what I expected, only to go back to my pre-registration and see they were not the hypotheses I specified.						
18	Here is my perspective: I strongly support pre-registration and the adoption of other methodological innovations (new and not so new) that help increase the confidence in research and our fields of science. Pre-registration forces me to develop more materials up front, writing the hypotheses, methods, and analyses sections as they would appear in an eventual manuscript. This takes considerable time, I am very busy and work on a wide variety of projects, so I usually have to write new material. I do not have the time to pre-register everything, so I tend to pre-register projects that I am excited about and believe are theoretically innovative. I tend not to pre-register exploratory studies or ones where the results are not surprising and add incrementally to an established literature. The benefits of pre-registration to my own work quality is that I have to clearly specify the hypotheses and make clear connections among the hypotheses, methods, and analyses before data collection. Sometimes I have an idea and add a new measure at the beginning of data collection, after I have pre-registered the project. I describe this appropriately in the manuscript and have not had any problematic issues with reviewers on this.	Pre-registration forces me to develop more materials up front, writing the hypotheses, methods, and analyses sections as they would appear in an eventual manuscript.	The benefits of pre-registration to my own work quality is that I have to clearly specify the hypotheses and make clear connections among the hypotheses, methods, and analyses before data collection. Sometimes I have an idea and add a new measure at the beginning of data collection, after I have pre-registered the project. I describe this appropriately in the manuscript and have not had any problematic issues with reviewers on this.								
19	Our pre-defined (and properly powered) recruitment targets have made the workflow far easier to manage than our non-preregistered studies - these fundamental aspects of experimental design are no longer simply guess-work. Data analysis scripts are now coded up before we get the final datasets, and analysis is performed within an afternoon rather than spending months searching for significant findings. The quality of my research has undoubtedly improved with the introduction of preregistration, specifically that I am now confident of the results that I publish, and I am a much happier scientist because of this!	Our pre-defined (and properly powered) recruitment targets have made the workflow far easier to manage than our non-preregistered studies - these fundamental aspects of experimental design are no longer simply guess-work.	Data analysis scripts are now coded up before we get the final datasets, and analysis is performed within an afternoon rather than spending months searching for significant findings.	The quality of my research has undoubtedly improved with the introduction of preregistration, specifically that I am now confident of the results that I publish, and I am a much happier scientist because of this!							
20	Workflow: It seems like preregistration has helped me to "front-load" project work, such that I spend more time thinking about how the hypothesis to be tested relates to the study design and analysis plan before the data are collected. In my experience, this has caused an increase in the quality of my work. Specifically, tightening the link between data - informative study design - informative analysis plan. However, I also completed my PhD and have learned a lot in academia at the same time as I've learned to use preregistration, so it's hard to evaluate the counterfactual (i.e., would my work be slightly less improved now if I'd never used preregistration - hard to tell). Data management: To be honest, the type of preregistration I've used (hypotheses, methods, and analysis plans) has not really affected the way I approach data management. That is, even in projects where preregistration hasn't been used, my data curating and sharing practices have been much the same. Quality of research: I guess I already addressed how preregistration has improved the quality of my work in the heading "workflow". I would like to report a negative experience about my use of preregistration (where it made the quality of my work actively worse), but honestly I can't think of any. The only downside to preregistration that I've experienced is cases where I've preregistered a suboptimal analysis plan (and this coming to light after data collection), resulting in me noting this sub-optimality in the writing up of the project for publication. This downside is purely to my self-interest though, as it probably exposes that I didn't think hard enough prior to data collection. I find it hard to believe I would've thought any harder in the absence of preregistration, so I don't judge this as negatively affecting the quality of my work. In fact, since it forces transparency, it's probably a bonus to the work overall!	It seems like preregistration has helped me to "front-load" project work, such that I spend more time thinking about how the hypothesis to be tested relates to the study design and analysis plan before the data are collected.	this has caused an increase in the quality of my work. Specifically, tightening the link between data - informative study design - informative analysis plan.	The only downside to preregistration that I've experienced is cases where I've preregistered a suboptimal analysis plan (and this coming to light after data collection), resulting in me noting this sub-optimality in the writing up of the project for publication. This downside is purely to my self-interest though, as it probably exposes that I didn't think hard enough prior to data collection.							
21	Due to the written (rather than just verbal) discussions and the opportunity to get their name on a preregistration, PIs and collaborators get more involved in the beginning of the conduction of the study. This ensures that the study is thoroughly discussed with an expert before it is conducted. Regarding the workflow: we now have a table of hypotheses and related planned analyses before testing. After testing we then conduct exactly those analyses and add a field with results to this very same table. This way we can ensure that we conduct every analysis we planned and that, if we decide to conduct additional tests, these are clearly marked as exploratory. I believe that the quality has improved in the sense that researcher degree of freedom are minimized. There may be quality problems if the preregistration did not initially choose the best analysis method (these can be solved with better preregistrations – we got better over time ;) – or by conducting additional exploratory analyses).	Due to the written (rather than just verbal) discussions and the opportunity to get their name on a preregistration, PIs and collaborators get more involved in the beginning of the conduction of the study. This ensures that the study is thoroughly discussed with an expert before it is conducted.	we now have a table of hypotheses and related planned analyses before testing. After testing we then conduct exactly those analyses and add a field with results to this very same table. This way we can ensure that we conduct every analysis we planned and that, if we decide to conduct additional tests, these are clearly marked as exploratory.	I believe that the quality has improved in the sense that researcher degree of freedom are minimized. There may be quality problems if the preregistration did not initially choose the best analysis method (these can be solved with better preregistrations – we got better over time ;) – or by conducting additional exploratory analyses).							
22	Workflow: Pro: Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher. Con: Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it, 2) it is more costly to do research because studies have to be run multiple times. Data management: There’s not much difference in my experience. I aim to upload data and materials to OSF anyway. Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures. Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.	Pre-registration forces you to be precise in your thinking and measurement and creates commitment for the researcher	Working with pre-registration typically takes much longer for two reasons: 1) there’s additional administrative stuff that needs to be done (e.g., filling in forms etc.) which takes a lot of time and reduces productivity compared to people who don’t do it	it is more costly to do research because studies have to be run multiple times.	Quality of research: Pro: Pre-reg reduces the likelihood of using false positives in your research because it forces you to use fewer measures	Con: Pre-reg (the way it’s currently propagated) is not very practical for complex samples (e.g., ESM studies, multi-wave studies, costly professional samples) where the hypothesis is not always clear in advance and you only have one opportunity to collect all the measures you suspect could be affected.					
23	I have noted the following differences with regard to my experience with studies that are preregistered vs not preregistered: Compared to studies that were not preregistered, in preregistered studies: -I spent more time thinking about the expected effect size (or smallest effect size of interest) before doing analyses, which is related to the fact that I did more detailed power analyses in preregistered studies. -I shift more of the work to the stage before data-collection/analyses, but save time doing and reporting the analyses. -I Feel more confident about my decisions during the analytic process. Deviating from the original planned analyses feels less wrong, because of the requirement to report the deviations. This transparency reduces my fear of making decisions because of confirmation bias without others being able to evaluate my decisions. -Related, preregistrations, helped me keeping track of which tests were confirmatory and which analyses were exploratory. Without a preregistration, this distinction may be hard to make, especially when work on the paper spans several months or years. It is easy to forget which analyses were planned, and which were carried out after initial data analyses.	I spent more time thinking about the expected effect size (or smallest effect size of interest) before doing analyses, which is related to the fact that I did more detailed power analyses in preregistered studies.	I shift more of the work to the stage before data-collection/analyses, but save time doing and reporting the analyses.	I Feel more confident about my decisions during the analytic process. Deviating from the original planned analyses feels less wrong, because of the requirement to report the deviations. This transparency reduces my fear of making decisions because of confirmation bias without others being able to evaluate my decisions.	Related, preregistrations, helped me keeping track of which tests were confirmatory and which analyses were exploratory. Without a preregistration, this distinction may be hard to make, especially when work on the paper spans several months or years. It is easy to forget which analyses were planned, and which were carried out after initial data analyses						
24	Since 2017, I have pre-registered every study on which I am lead or senior author. I think pre-registered studies are planned more thoroughly before data are collected. For example, it makes it easier for power analyses to be conducted, because the precise data-analytical approach is decided before data are collected. As we are juggling multiple projects, I find pre-registration improves my management of projects; at any time I can refer to the pre-reg document to remind myself of our approach and hypotheses. I don’t find any difference in the management of the empirical data collected. In terms of quality, I think when our a priori predictions are supported, the findings are more compelling (than if we had not pre-registered). This is because it signals to others that these were indeed the effects that we predicted at the outset. From observing the work of others, however, I think it is important that the pre-registration is considered and contains enough information such that people can assess if the pre-reg was followed. Basically, I think that the quality of the pre-reg is very important, and sometimes this can take a long time. Saying that, once the details of the pre-reg are considered, this can speed up the writing and analysis when the data are collected (the hard work determining analytical approach has already been completed).	I think pre-registered studies are planned more thoroughly before data are collected. For example, it makes it easier for power analyses to be conducted, because the precise data-analytical approach is decided before data are collected	As we are juggling multiple projects, I find pre-registration improves my management of projects; at any time I can refer to the pre-reg document to remind myself of our approach and hypotheses	Saying that, once the details of the pre-reg are considered, this can speed up the writing and analysis when the data are collected (the hard work determining analytical approach has already been completed).	I think when our a priori predictions are supported, the findings are more compelling (than if we had not pre-registered). This is because it signals to others that these were indeed the effects that we predicted at the outset. From observing the work of others, however, I think it is important that the pre-registration is considered and contains enough information such that people can assess if the pre-reg was followed. Basically, I think that the quality of the pre-reg is very important, and sometimes this can take a long time.						
25	Pre-registration has smoothed my workflow by forcing me to plan my research to a much finer degree than before. Regarding data analysis, the planning stage has also facilitated a habit of data simulation, so I can pre-register my R code. This is incredibly valuable. Regarding data management, it has made no obvious impact. I believe the quality of my research has been greatly enhanced. I find holding myself accountable very valuable. I also find it incredibly useful to protect my work against post-hoc reviewers (#notallreviewers, of course), but there's always some who tell me (and my colleagues) that the hypotheses don't match the data. A pre-reg document is useful in that situation. (However, I am happy to yield to superior analyses if suggested by a reviewer, with full declaration, of course). I've also found it useful to have my junior colleagues in ... less ideal labs ... to pre-register their projects, to avoid old-school researchers asking them to be selective in their reporting, or to make claims (wilfully, or forgetfully) about certain hypotheses or planned analyses.	Pre-registration has smoothed my workflow by forcing me to plan my research to a much finer degree than before.	Regarding data analysis, the planning stage has also facilitated a habit of data simulation, so I can pre-register my R code. This is incredibly valuable.	I believe the quality of my research has been greatly enhanced. I find holding myself accountable very valuable. I also find it incredibly useful to protect my work against post-hoc reviewers (#notallreviewers, of course), but there's always some who tell me (and my colleagues) that the hypotheses don't match the data. A pre-reg document is useful in that situation. (However, I am happy to yield to superior analyses if suggested by a reviewer, with full declaration, of course). I've also found it useful to have my junior colleagues in ... less ideal labs ... to pre-register their projects, to avoid old-school researchers asking them to be selective in their reporting, or to make claims (wilfully, or forgetfully) about certain hypotheses or planned analyses.							
26	I enjoyed pre-registering my last study. Pre-registering the project shaped the research process. It took a little more work upfront. While it is typical to lay out hypotheses before conducting any experiment, it was more clear cut and spelled out with pre-registration. Data management was similar--it's an extra step to upload the data to OSF but that's about it. Overall, I think pre-registering a study purifies the research process. The research is laid out and there's less room for subjectivity and bias.	Pre-registering the project shaped the research process. It took a little more work upfront. While it is typical to lay out hypotheses before conducting any experiment, it was more clear cut and spelled out with pre-registration.	Data management was similar--it's an extra step to upload the data to OSF but that's about it.	Overall, I think pre-registering a study purifies the research process. The research is laid out and there's less room for subjectivity and bias.							
27	starting preregistrations (about 4 years ago) has been truly a life-changing moment for me as a scientist. Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments. I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time. I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not. To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process. Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch	Preregistration motivates me to think more about my research before I do it, which means that I usually come up with higher-quality materials and designs before I run my experiments.	I spend more time now preparing the research and much less time analyzing the data and publishing studies. This is a more meaningful use of my time.	I also feel more certain regarding the results of my studies and I am no longer stressed about whether my results are positive or not.	To sum up, preregistration helped me to re-focus my attention on things that I can change and where I can be truly creative (preparation stage) and helped me to avoid the stress when facing the results of my research and the publication process.	Also, my workflow seems to be more straightforward now: idea -> preregistration -> results ->very quick analysis -> publish/ resubmit but certainly not revise the paper from scratch					
28	I try to preregister confirmatory studies that will end up in a paper. As a result, my preregistered vs. non-preregistered studies differ quite a bit because they are achieving different goals. My non-preregistered studies are typically exploratory in order to get a sense of whether a research question is interesting and how to go about testing it, while my preregistered studies are about ensuring that the effect is real. As a result, the workflow for the preregistered studies is generally simpler and clearer, and the data management is more careful (e.g., the R code is cleaner). The quality of the study design I don't think differs, but I do have more confidence that any results I find are more likely to be true.	As a result, the workflow for the preregistered studies is generally simpler and clearer,	and the data management is more careful (e.g., the R code is cleaner)	The quality of the study design I don't think differs, but I do have more confidence that any results I find are more likely to be true.							
29	At the beginning I always think about preregistration as an additional burden while planning a study. But I usually quickly recognize that my preregistered studies are much better conceived from the beginning on. Another advantage clearly is that you are not even slightly tempted to run additional analyses and frame them as confirmatory.	At the beginning I always think about preregistration as an additional burden while planning a study.	But I usually quickly recognize that my preregistered studies are much better conceived from the beginning on.	nother advantage clearly is that you are not even slightly tempted to run additional analyses and frame them as confirmatory.							
30	I think preregistration is tremendously helpful as it forces you to think everything through, preventing from making data-driven decisions. When you lack experience with a specific design, pilots may be required to make a good preregistration. Preregistration is sometimes frustrating because you cannot predict everything that can happen and because it slows down the start of data collection. But the latter may actually be an advantage too, as we may end up with fewer but better studies.	I think preregistration is tremendously helpful as it forces you to think everything through	preventing from making data-driven decisions	When you lack experience with a specific design, pilots may be required to make a good preregistration.	Preregistration is sometimes frustrating because you cannot predict everything that can happen	it slows down the start of data collection	But the latter may actually be an advantage too, as we may end up with fewer but better studies.				
31	Normally, I am working with existing large-scale data set which means that there is a long period in which I get to know the data before I settle on the final analyses. In the projects I have pre-registered, this workflow is of course different because I have to spend a more time thinking about the best possible analyses to address my research question prior to seeing the data. While I have always encountered issues in implementing my pre-registered analyses (e.g., learning about problems of the analyses I had planned), which led to various deviations, I got the impression that spending more time reflecting on the proper analysis strategy has improved the quality of my research.	In the projects I have pre-registered, this workflow is of course different because I have to spend a more time thinking about the best possible analyses to address my research question prior to seeing the data.	While I have always encountered issues in implementing my pre-registered analyses (e.g., learning about problems of the analyses I had planned), which led to various deviations, I got the impression that spending more time reflecting on the proper analysis strategy has improved the quality of my research.								
32	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors. Also it forced me to think more clearly about my hypothesis and the predictions that follow from it. Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses, my pre-registered projects were the most efficient ones I did. Data management: No big difference from normal. Quality: My pre-registered results are my only published results that I fully believe.	Workflow: The preregistration, in particular as a registered report, forced me to plan very well and think about responsibilities of different contributors.	Also it forced me to think more clearly about my hypothesis and the predictions that follow from it.	Thanks to this very goal-oriented planning, and the fact that you do not have any incentive to keep on playing with your analyses	my pre-registered projects were the most efficient ones I did.	Data management: No big difference from normal.	Quality: My pre-registered results are my only published results that I fully believe.				
33	I have pre-registered several studies over the years, and the process has changed over time. My first pre-registered study (published in 2014) likely looks very different from my most recent (stage 2 RR under review currently). The workflow for pre-registered projects is more front-loaded. This means that we do things in the beginning that we used to do at the end. The analysis is very challenging to plan, but actually running the analysis is simpler once the data are in. There is not as much temptation to choose specifications that are favorable to the conclusions; it relieves some pressure on me to make the results conform to a particular outcome. (This is especially true for registered reports, where statistical significance is not relevant.) I'm not sure I've discerned much effect of pre-registration specifically on data management. My data management habits have changed over this same time period to ensure fewer errors and greater reproducibility, but I would characterize this change as independent of the decision to pre-register.	The workflow for pre-registered projects is more front-loaded. This means that we do things in the beginning that we used to do at the end.	The analysis is very challenging to plan, but actually running the analysis is simpler once the data are in.	There is not as much temptation to choose specifications that are favorable to the conclusions; it relieves some pressure on me to make the results conform to a particular outcome. (This is especially true for registered reports, where statistical significance is not relevant.)	I'm not sure I've discerned much effect of pre-registration specifically on data management. My data management habits have changed over this same time period to ensure fewer errors and greater reproducibility, but I would characterize this change as independent of the decision to pre-register.						
34	I decide to preregister a study after pilot testing, once I have a better idea of what is going to happen, what the data are going to look like and what the appropriate analyses are. The workflow, data management, and quality of research are similar between preregistered and not preregistered studies because we try to hold to an ethical ideal regardless of whether other researchers are going to see it or not. The main difference comes really in planning the analyses beforehand or not.	The workflow, data management, and quality of research are similar between preregistered and not preregistered studies because we try to hold to an ethical ideal regardless of whether other researchers are going to see it or not.	The main difference comes really in planning the analyses beforehand or not.								
35	The reviews were very constructive and helpful for designing the studies which improved the quality of the research. Also, although review rounds take time until you can finally collect your data, the process of publishing was quick compared to other projects in which you do not have an in principle acceptance.										
