StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	informed_consent	group_sorting_1	group_sorting_2	group_sorting_3	group_sorting_4	group_sorting_5	control_hypothesis	control_design	control_analysis	control_rdm	control_workflow	control_attention	control_collab	control_preparatory	control_duration	control_stress	control_qrp	prereg_hypothesis	prereg_design	prereg_analysis	prereg_rmd	prereg_workflow	prereg_attention	prereg_collab	prereg_preparatory	prereg_duration	prereg_stress	prereg_qrp	rr_hypothesis	rr_design	rr_analysis	rr_rmd	rr_workflow	rr_attention	rr_collab	rr_preparatory	rr_duration	rr_stress	rr_qrp	other_hypothesis	other_desing	other_analysis	other_rdm	other_workflow	other_attention	other_collab	other_preparatory	other_duration	other_stress	other_qrp	planning	recommend	research_type	research_type_6_TEXT	field	group	comment	changed_comment
2020-01-15 22:05:26	2020-01-15 22:08:26	IP Address	100	180	True	2020-01-15 22:08:28	R_1jIoc13Llz40GBP	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	5	5	"4
Did not change"	5	"4
Four"	"4
Did not change"	5	2	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-01-15 23:02:39	2020-01-15 23:04:41	IP Address	100	122	True	2020-01-15 23:04:43	R_3OiWQLZ5c6hKQ5b	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	"7
Got more thought-through"	6	"4
Did not change"	"4
Four"	I do not know	5	I do not know	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	Neurolinguistics	prereg	NA	NA
2020-01-16 00:03:20	2020-01-16 00:11:06	IP Address	100	465	True	2020-01-16 00:11:07	R_1ffQJOCPpdzJgLV	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	3	"1
Was increased"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Agree	Hypothesis testing	NA	social psychology	prereg	"Speaking as someone who thinks various aspects of the field have improved because of preregistration, and as someone who has preregistered everything for a number of years (and plan to continue to do so): I struggle with its net value. I feel like my creativity and joy for research have suffered. Preregistration at times feels a lot like ""teaching to the test."" When I look at data, my mind goes right to ""Was the preregistration right?"" If not, it stings and I feel like the idea is done for. In past times I would have stuck with my thinking for a lot longer and explored the data for learning purposes, but now it feels like my only goal is to confirm the preregistration. I struggle with this."	NA
2020-01-16 02:30:33	2020-01-16 02:38:40	IP Address	100	487	True	2020-01-16 02:38:41	R_1nUR74ZBZaWBQK0	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	"4
Did not change"	6	2	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Estimation	NA	Personality Psychology	prereg	Duration has been longer for a paper I'm currently working on due to the analysis methods evolving over 3 studies. Without pre-reg (or certainly pre-reg of the first study) I probably would not have reported the analysis pre-registered for the first study. Time was not increased much for other projects.	NA
2020-01-16 12:48:18	2020-01-16 12:50:55	IP Address	100	157	True	2020-01-16 12:50:55	R_2ydqgkzr8VvfjnS	email	EN	Yes	No	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	"7
Got better"	"7
Improved"	"1
Was longer"	2	Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	Consumer psychology	prereg	NA	NA
2020-01-16 16:26:13	2020-01-16 16:27:44	IP Address	100	90	True	2020-01-16 16:27:44	R_1LTjG7NoTTLeFE7	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Four"	5	"4
Did not change"	3	"4
Did not change"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	judgment and decision making	prereg	NA	NA
2020-01-16 16:26:28	2020-01-16 16:28:52	IP Address	100	143	True	2020-01-16 16:28:52	R_1hXQMUjyEhc5OZg	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	6	"4
Four"	5	6	5	"4
Did not change"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	decision making	prereg	NA	NA
2020-01-16 16:26:28	2020-01-16 16:28:58	IP Address	100	149	True	2020-01-16 16:28:58	R_1jK73BwMw1I74DI	email	EN	Yes	No	Yes	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Four"	5	5	"4
Did not change"	6	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Disagree	Hypothesis testing	NA	Educational psychology	prereg	Pre-registration prevents QRPs but also helps you flesh out the structure of your study a priori - helping you avoid common pitfalls	NA
2020-01-16 16:27:03	2020-01-16 16:29:23	IP Address	100	140	True	2020-01-16 16:29:23	R_agbK0Rx5mX3cTJL	email	EN	Yes	Yes	Yes	No	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	5	"7
Got more thought-through"	5	6	"4
Four"	5	5	5	"4
Did not change"	Very Strongly Agree	Usually	Strongly Agree	Hypothesis testing	NA	experimental/general psychology	other	NA	NA
2020-01-16 16:25:19	2020-01-16 16:29:28	IP Address	100	249	True	2020-01-16 16:29:28	R_1FfbyrLqo2yS9XJ	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	"4
Did not change"	"7
Improved"	2	3	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	NA	NA
2020-01-16 16:26:51	2020-01-16 16:29:39	IP Address	100	168	True	2020-01-16 16:29:39	R_25NoLYxuWA3VTOp	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	6	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Four"	"4
Did not change"	"7
Improved"	"4
Did not change"	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	social & experimental psychology; large scale & cohort data	prereg	n/a	NA
2020-01-16 16:27:06	2020-01-16 16:29:52	IP Address	100	166	True	2020-01-16 16:29:53	R_3QEL0SYevGHTHJ3	email	EN	Yes	Yes	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"4
Did not change"	6	"7
Got more thought-through"	6	"4
Four"	6	5	3	"4
Did not change"	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	Evolutionary Psychology / Personality Psychology	prereg	NA	NA
2020-01-16 16:27:36	2020-01-16 16:29:57	IP Address	100	140	True	2020-01-16 16:29:57	R_3MbetgMtnNGrG16	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	6	5	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	I like preregistration. It's not much different from what most have to do as students: propose a study thoughtfully before doing it.	NA
2020-01-16 16:26:27	2020-01-16 16:30:34	IP Address	100	247	True	2020-01-16 16:30:35	R_3sW96KqkWew5Z7z	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	6	5	"4
Four"	6	Not applicable	2	3	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	Personality psychology	prereg	Pre-registration, though time consuming, enhance study design, creates greater consistency throughout the research process, and helps with clearer communication between collaborators.	NA
2020-01-16 16:28:47	2020-01-16 16:30:41	IP Address	100	113	True	2020-01-16 16:30:41	R_pQp3MUXd6R54VwJ	email	EN	Yes	No	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	6	6	5	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	Media psychology	prereg	NA	NA
2020-01-16 16:27:43	2020-01-16 16:30:44	IP Address	100	181	True	2020-01-16 16:30:44	R_2ro0dUAo1ReQUgH	email	EN	Yes	Yes	Yes	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	6	"4
Did not change"	"4
Did not change"	2	I do not know	5	I do not know	I do not know	Very Strongly Agree	Always	Very Strongly Agree	Hypothesis testing	NA	Judgment and Decision Making	other	NA	NA
2020-01-16 16:27:23	2020-01-16 16:30:53	IP Address	100	210	True	2020-01-16 16:30:53	R_3Es2Xxj2dy4HBfO	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	6	5	"4
Did not change"	"4
Four"	2	5	2	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-01-16 16:28:29	2020-01-16 16:30:54	IP Address	100	145	True	2020-01-16 16:30:54	R_3M4OIniVSBjnHtF	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Modeling	NA	judgment and decision making	prereg	NA	NA
2020-01-16 16:29:09	2020-01-16 16:31:03	IP Address	100	113	True	2020-01-16 16:31:03	R_1Kv7pJfXLRdSL8t	email	EN	Yes	No	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"4
Did not change"	6	6	"4
Did not change"	"4
Four"	3	5	3	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Agree	Other	mix of confirmatory and exploratory	cognitive	prereg	NA	NA
2020-01-16 16:27:00	2020-01-16 16:32:21	IP Address	100	320	True	2020-01-16 16:32:21	R_1JOMXHUuQv0R1Uy	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	5	6	5	5	"4
Four"	"7
Got better"	5	"7
Was shorter"	"7
Was reduced"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Other	Descriptive	Educational and Social Psychology	prereg	NA	NA
2020-01-16 16:29:39	2020-01-16 16:32:51	IP Address	100	191	True	2020-01-16 16:32:52	R_2BmRZidkYR4sMyw	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	"4
Did not change"	5	2	"4
Did not change"	Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	Developmental psychology	prereg	NA	NA
2020-01-16 16:28:33	2020-01-16 16:33:47	IP Address	100	314	True	2020-01-16 16:33:47	R_2eW1ColfbAVmavD	email	EN	Yes	Yes	Yes	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	5	"4
Did not change"	"4
Four"	"4
Did not change"	5	"4
Did not change"	5	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	environmental psychology	prereg	NA	NA
2020-01-16 16:30:48	2020-01-16 16:34:06	IP Address	100	197	True	2020-01-16 16:34:06	R_RqLTZNshZBcNuY9	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	Not applicable	"7
Got more thought-through"	"4
Four"	5	"7
Improved"	2	2	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Very Strongly Agree	Hypothesis testing	NA	experimental psychology	prereg	NA	NA
2020-01-16 16:32:30	2020-01-16 16:35:38	IP Address	100	187	True	2020-01-16 16:35:38	R_A0d0gQ18nAZjUNH	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	"7
Got more thought-through"	6	6	"4
Four"	"4
Did not change"	5	2	"4
Did not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
