response_id	duration_in_seconds	planning	recommend	research_type	research_type_6_text	field	group	comment	changed_comment	hypothesis	design	analysis	rdm	workflow	collab	preparatory	duration	stress	qrp
R_1LTjG7NoTTLeFE7	90	Usually	Very Strongly Agree	Hypothesis testing	NA	judgment and decision making	prereg	NA	NA	5	5	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	3	"4
Did not change"	Very Strongly Agree
R_1hXQMUjyEhc5OZg	143	Always	Very Strongly Agree	Hypothesis testing	NA	decision making	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	6	5	6	5	"4
Did not change"	Very Strongly Agree
R_1jK73BwMw1I74DI	149	Always	Very Strongly Disagree	Hypothesis testing	NA	Educational psychology	prereg	Pre-registration prevents QRPs but also helps you flesh out the structure of your study a priori - helping you avoid common pitfalls	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"4
Did not change"	6	Agree
R_1FfbyrLqo2yS9XJ	249	Usually	Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	"7
Improved"	2	3	Very Strongly Agree
R_25NoLYxuWA3VTOp	168	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	social & experimental psychology; large scale & cohort data	prereg	n/a	NA	"4
Did not change"	6	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"7
Improved"	"4
Did not change"	"4
Did not change"	Agree
R_3QEL0SYevGHTHJ3	166	Usually	Very Strongly Agree	Hypothesis testing	NA	Evolutionary Psychology / Personality Psychology	prereg	NA	NA	"7
Got more thought-through"	"4
Did not change"	6	"7
Got more thought-through"	6	6	5	3	"4
Did not change"	Very Strongly Agree
R_3MbetgMtnNGrG16	140	Usually	Strongly Agree	Hypothesis testing	NA	cognitive psychology	prereg	I like preregistration. It's not much different from what most have to do as students: propose a study thoughtfully before doing it.	NA	"4
Did not change"	"4
Did not change"	6	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree
R_3sW96KqkWew5Z7z	247	Always	Very Strongly Agree	Hypothesis testing	NA	Personality psychology	prereg	Pre-registration, though time consuming, enhance study design, creates greater consistency throughout the research process, and helps with clearer communication between collaborators.	NA	"7
Got more thought-through"	5	"7
Got more thought-through"	6	5	6	Not applicable	2	3	Strongly Agree
R_pQp3MUXd6R54VwJ	113	Usually	Very Strongly Agree	Hypothesis testing	NA	Media psychology	prereg	NA	NA	5	6	6	6	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree
R_3Es2Xxj2dy4HBfO	210	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	6	5	"4
Did not change"	2	5	2	"4
Did not change"	Strongly Agree
R_3M4OIniVSBjnHtF	145	Sometimes	Agree	Modeling	NA	judgment and decision making	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Agree
R_1Kv7pJfXLRdSL8t	113	Usually	Agree	Other	mix of confirmatory and exploratory	cognitive	prereg	NA	NA	5	"4
Did not change"	6	6	"4
Did not change"	3	5	3	"4
Did not change"	Agree
R_1JOMXHUuQv0R1Uy	320	Always	Very Strongly Agree	Other	Descriptive	Educational and Social Psychology	prereg	NA	NA	"4
Did not change"	5	6	5	5	"7
Got better"	5	"7
Was shorter"	"7
Was reduced"	Agree
R_2BmRZidkYR4sMyw	191	Usually	Very Strongly Agree	Hypothesis testing	NA	Developmental psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	5	2	"4
Did not change"	Disagree
R_2eW1ColfbAVmavD	314	Usually	Very Strongly Agree	Hypothesis testing	NA	environmental psychology	prereg	NA	NA	6	6	"7
Got more thought-through"	5	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	5	Strongly Agree
R_RqLTZNshZBcNuY9	197	Usually	Very Strongly Agree	Hypothesis testing	NA	experimental psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	Not applicable	"7
Got more thought-through"	5	"7
Improved"	2	2	Agree
R_A0d0gQ18nAZjUNH	187	Sometimes	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	5	"7
Got more thought-through"	6	6	"4
Did not change"	5	2	"4
Did not change"	Strongly Agree
R_pbLbMh1IAOY9jwt	128	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	6	6	6	6	"4
Did not change"	6	2	"4
Did not change"	Agree
R_USIrg8KsWnYTvtT	170	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	experimental	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	6	6	6	"4
Did not change"	"7
Improved"	"1
Was longer"	3	Neither Agree or Disagree
R_2arZ41YWWLrdxnV	85	Usually	Very Strongly Agree	Hypothesis testing	NA	developmental psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	5	5	6	"7
Got better"	"7
Improved"	"1
Was longer"	"4
Did not change"	Strongly Agree
R_pPLsMwjnOmaJ7s5	229	Usually	Very Strongly Agree	Hypothesis testing	NA	epidemiology/psychology	prereg	NA	NA	5	6	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Strongly Agree
R_2dtHkMgxUuDcPDF	219	Usually	Strongly Agree	Hypothesis testing	NA	cognitive science (language processing)	prereg	NA	NA	"4
Did not change"	5	"4
Did not change"	5	6	"4
Did not change"	5	3	"4
Did not change"	Agree
R_ZHMfMU9tMrJHbzz	171	Always	Strongly Agree	Hypothesis testing	NA	Vision science	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	6	"7
Got more thought-through"	5	6	"4
Did not change"	"4
Did not change"	Strongly Agree
R_3rYchwsE2oh6xcF	158	Usually	Agree	Hypothesis testing	NA	Applied psych	prereg	NA	NA	6	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	3	"4
Did not change"	Agree
R_5mPD9M40BgpUch3	288	Usually	Strongly Agree	Hypothesis testing	NA	Education, Science Communication, teacher Education	prereg	NA	NA	"7
Got more thought-through"	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	"7
Improved"	2	3	Strongly Agree
R_2fvXHoyjUQoyx4G	132	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"7
Got more thought-through"	"4
Did not change"	5	5	5	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Agree
R_2usWS0BTC3VMCFO	214	Frequently	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	5	6	"4
Did not change"	5	5	5	3	"4
Did not change"	Agree
R_1MSBeMLSAin8ykF	200	Always	Very Strongly Agree	Hypothesis testing	NA	social psychology / sexuality	prereg	I have no further thoughts	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Very Strongly Agree
R_OONo0QzgWL66Os1	382	Usually	Strongly Agree	Hypothesis testing	NA	social psychology with a focus on intergroup dynamics.	prereg	"this is really insightful work and hopefully helps improve attitudes about improving practices in the field. in subsequent work, it might be worth exploring how researchers felt pre-registration impacted the publication process. although i have been fortunate to have published a number of pre-registered studies at this point, i often encounter editors who still seem to want my team to change a priori aspects of manuscripts to better fit with a ""we knew it all along"" or in the context of competing hypothesis situations, favor the hypothesis that was ultimately supported by the data. in other words, pre-registration has improved the quality of my empirical work, but has created new challenges when interacting with journals and the publication process."	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"7
Got better"	"7
Improved"	"1
Was longer"	2	Strongly Agree
R_2YmFdJiw47aOhZu	132	Usually	Strongly Agree	Hypothesis testing	NA	consumer behavior	prereg	NA	NA	6	6	6	6	6	"4
Did not change"	5	2	"4
Did not change"	Strongly Agree
R_1oCn7IUmoEge0Z2	194	Occasionally	Neither Agree or Disagree	Modeling	NA	mathematical psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	5	"7
Got more thought-through"	"7
Got better"	"4
Did not change"	2	"4
Did not change"	Agree
R_1pYASbK3bjsXvKp	332	Always	Very Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	Whilr pre-registration can be time-consuming, most of the work are things that you have to do eventually anyways. Thus, the work simply moves to a different time point rather than actually increasing much.	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	6	"4
Did not change"	5	5	3	"4
Did not change"	Very Strongly Agree
R_2xJmhjUP02hedVr	679	Always	Agree	Hypothesis testing	NA	Neuroscience	prereg	I am highly in favor of preregistration to reduce bias and improve experimental validity.  My field (animal research) is substantially behind the curve.  To date, of the preregistered studies I have attempted to publish, no reviewer has commented on the preregistration as a positive aspect of the study (the link is always included in the abstract and the methods).  Rather, the reviewers who have mentioned it have used the preregistration to point out deviations (which we take care to explicitly point out in the methods) and thus has led to more challenges with publication rather than fewer.  I am of the opinion that if I had submitted identical studies without preregistration, they would have been easier to publish.  I am hopeful that reviewers will realize the importance of preregistration and use it as an incentive rather than a punishment in the future.  Continued focus on the usefulness and importance of preregistration will hopefully move the field in the right direction.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	6	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Agree
R_3pmtMxaf7WeJS9R	119	Usually	Strongly Agree	Hypothesis testing	NA	Cultural Evolution	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	"7
Improved"	"4
Did not change"	I do not know	Very Strongly Agree
R_QnuwQqMR2qsWIoN	92	Usually	Very Strongly Agree	Hypothesis testing	NA	developmental psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got better"	"7
Improved"	"1
Was longer"	2	Very Strongly Agree
R_3lEPQhLpBx1eXoX	1002	Usually	Strongly Agree	Hypothesis testing	NA	personality psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	6	5	5	"7
Improved"	3	5	Very Strongly Agree
R_1dtXMdQ00D46aVh	238	Sometimes	Agree	Hypothesis testing	NA	Social/Personality/Developmental Psychology	prereg	Good luck with the project!	NA	5	6	"7
Got more thought-through"	"7
Got more thought-through"	6	5	5	2	2	Very Strongly Agree
R_3FXzq2gg3nYRmFq	124	Usually	Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	5	5	"4
Did not change"	"4
Did not change"	5	3	3	Agree
R_12PT6gQvle78SIY	251	Usually	Agree	Hypothesis testing	NA	Legal psychology	prereg	NA	NA	5	"4
Did not change"	6	5	"4
Did not change"	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	Agree
R_12uqK3Rvux40zKJ	321	Always	Very Strongly Agree	Hypothesis testing	NA	Health psychology	prereg	I personally found that pre-registration was an excellent way to 'fight back' against pressures from supervisors/more senior co-authors to basically p-hack. However, this also caused friction and difficulty in the working relationship.	NA	"4
Did not change"	"4
Did not change"	6	6	6	3	"7
Improved"	I do not know	2	Very Strongly Agree
R_pRa5Kqu7i8ckLv3	162	Usually	Strongly Agree	Hypothesis testing	NA	developmental psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	"7
Improved"	3	"4
Did not change"	Strongly Agree
R_RK6FIJTxgUkdfjP	143	Frequently	Very Strongly Agree	Hypothesis testing	NA	Social psychology	prereg	NA	NA	"4
Did not change"	5	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"7
Improved"	"4
Did not change"	3	Very Strongly Agree
R_2tJzB1wEUhYXcfF	155	Frequently	Strongly Agree	Hypothesis testing	NA	Emotions	prereg	NA	NA	6	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	5	5	3	"4
Did not change"	Strongly Agree
R_2dYkdxQ9PL6pAVP	133	Frequently	Agree	Modeling	NA	cognitive psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	5	5	"4
Did not change"	3	Disagree
R_bvYnlmq5WVg3e1z	251	Frequently	Agree	Hypothesis testing	NA	social cognition and clinical applications	prereg	good luck with this, best	NA	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	2	"7
Got better"	"7
Improved"	"1
Was longer"	"4
Did not change"	Agree
R_1FQzSzUeqBxJnyM	377	Usually	Very Strongly Agree	Hypothesis testing	NA	Developmental cognitive psychology	prereg	I have changed my practices over the last two years, so that nearly everything I do is pre-registered (with the exception of stuff that is much more pilot-like or involves a new analysis/method that I don't yet feel confident enough to pre-reg). But, I have worked with a couple of older datasets recently which have taken a long time to come in, and where the analyses have not been pre-registered. I must say,  the analysis process for studies that are not pre-registered is far less enjoyable and far more anxiety inducing. It now feels completely wrong and uncomfortable to 'make decisions as you go'.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"7
Was reduced"	Very Strongly Agree
R_ys6uTVWL9cnvA0p	218	Usually	Strongly Agree	Hypothesis testing	NA	Empirical Aesthetics / Psychology of Art	prereg	"Bit confusing that the scale points flipped (e.g. on this page ""always"" being totally on the left for the first question and ""very strongly agree"" being totally on the right for the second question) this may be done to make sure people are paying attention (like the two equals two question)but is not so convenient as a participant"	NA	5	"4
Did not change"	"7
Got more thought-through"	6	6	"4
Did not change"	5	5	"4
Did not change"	Agree
R_RnvYCzVtg73gjYZ	132	Usually	Strongly Agree	Hypothesis testing	NA	Political behavior	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	6	5	6	5	"4
Did not change"	3	5	Strongly Agree
R_1DPdq1gShNjoXAI	123	Always	Strongly Agree	Hypothesis testing	NA	Social and organisational	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"7
Improved"	3	"4
Did not change"	Very Strongly Agree
R_qDsLgbLul4GHRHr	1788	Always	Very Strongly Agree	Hypothesis testing	NA	judgment and decision-making	prereg	Our lab is co-directed by two PIs, one who is a senior researcher who has adopted preregistration and the other (me) who is early mid-career but relatively new to, and not formally trained in, empirical work (long story)so is learning open science practices simultaneously with learning to do empirical work, which makes for an interesting lab. Of course the RA and postdocs are somewhere in between--prior to joining our lab, they had never preregistered but are formally trained in, and have prior experience with, empirical research (though of course not nearly as much as the senior PI). The modest time and stress increase has been due to complex questions about whether/how to preregister exploratory (as opposed to hypothesis-confirming) studies and also what it means to preregister a hypothesis—does it mean that you are simply testing a hypothesis, and if you find a null effect that's fine, or does it mean you are somehow betting on a certain answer, and if you find a different answer that is bad for the publishability of your research. The two questions tend to intersect, inasmuch as those in the lab (e.g., senior PI) who view hypothesis testing as making a bet are probably more likely to deem studies exploratory until they feel confident in that bet, whereas those in the lab (e.g., me) who feel preregistering a hypothesis doesn't necessarily mean you believe the hypothesis will bear itself out, just that you want to know the answer to this specific question, as more like to deem studies hypothesis-confirming earlier. As the baby scientist, I am probably wrong and confused. Anyway, we typically preregister even exploratory research at this point.	NA	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	5	3	3	Agree
R_1dv2wqlbdQ3CAkI	128	Always	Strongly Agree	Hypothesis testing	NA	Cognitive	prereg	NA	NA	6	6	5	5	"4
Did not change"	3	"4
Did not change"	5	2	Very Strongly Agree
R_ZDeqJpCyQdzXCkV	296	Always	Very Strongly Agree	Hypothesis testing	NA	social	prereg	I am happy to see someone collecting data on this. I think that there are a lot of misconceptions about preregistration among those who do not use it, so I hope that this data helps address some of that. I feel that preregistration has dramatically improved the quality of my work.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	6	6	6	5	6	Very Strongly Agree
R_DwtEbxWL3a48DEl	2217	Sometimes	Agree	Other	Exploratory	Vision/Cognition	prereg	I feel strongly that the field needs a clearer distinction between confirmatory and exploratory work, and wider recognition of the value of exploratory, descriptive research that can form the basis for well-specified hypotheses. So while I endorse pre-registration for all confirmatory research, I also recommend we all spend more time and effort on exploration before jumping to confirmation.	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"7
Improved"	"4
Did not change"	"4
Did not change"	Agree
R_1EcZjedGMzqbifH	148	Usually	Very Strongly Agree	Hypothesis testing	NA	neuroscience	prereg	NA	NA	6	"4
Did not change"	6	5	"4
Did not change"	6	6	6	"4
Did not change"	Very Strongly Agree
R_33EirR5oihEWv5i	183	Usually	Very Strongly Agree	Modeling	NA	Mathematicl Psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	Not applicable	"7
Got more thought-through"	"7
Got better"	"7
Improved"	"7
Was shorter"	5	Very Strongly Agree
R_2QfHBU2DArKlDaF	117	Usually	Agree	Hypothesis testing	NA	Eating behaviour, obesity, body image	prereg	NA	NA	"4
Did not change"	5	"7
Got more thought-through"	5	"7
Got more thought-through"	5	"7
Improved"	I do not know	I do not know	Strongly Agree
R_qwnVGMW7vCoIqdP	239	Sometimes	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	Pre-registration has helped me get some studies published.  It also adds some stress because sometimes I might have two or more different ways I expect data to turn out, and sometimes the ideal way to analyze data doesn't come to me until I see it.  But in the end, it helped and I should objectively do it more.	NA	5	5	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	Agree
R_2V1GooRkFGt76yp	160	Always	Very Strongly Agree	Other	About 50% hypothesis testing and 50% estimation. Wanted to check both.	cogntiion/perception	prereg	NA	NA	6	6	"7
Got more thought-through"	5	"7
Got more thought-through"	"4
Did not change"	"7
Improved"	3	"4
Did not change"	Strongly Agree
R_2s1GYJaIPRLjXDv	177	Usually	Very Strongly Disagree	Hypothesis testing	NA	Developmental/cognitive psychology	prereg	NA	NA	5	5	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Agree
R_1Fgirp2mVNf2hir	161	Frequently	Agree	Estimation	NA	personality psychology	prereg	NA	NA	6	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Agree
R_1QmdU6ybroF09Um	160	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	3	3	Strongly Agree
R_1rlARVUfgDS5XjQ	151	Usually	Strongly Agree	Hypothesis testing	NA	cognitive, cognitive aging	prereg	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	5	5	"4
Did not change"	3	5	Strongly Agree
R_2dnlZgwtqHaFIXb	307	Usually	Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA	6	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	6	"4
Did not change"	"7
Improved"	2	6	Strongly Agree
R_1ISpcmMcTsHST5v	70	Always	Very Strongly Agree	Hypothesis testing	NA	developmental psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	"1
Was longer"	"4
Did not change"	Very Strongly Agree
R_3hxZ2Vcew9Z3UW5	203	Usually	Strongly Agree	Estimation	NA	experimental psychology	prereg	You should differentiate between self-made preregistration and Registered Reports	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"7
Got better"	"7
Improved"	3	"7
Was reduced"	Very Strongly Agree
R_PUqzH7kaWUs0x6F	126	Usually	Very Strongly Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	5	"4
Did not change"	5	"4
Did not change"	"7
Was reduced"	Very Strongly Agree
R_1LjBBWs6gG3N0VH	5416	Usually	Very Strongly Agree	Estimation	NA	Neuroscience	prereg	Confusing questions--are you asking about 1 specific experience with pre-reg or the average over all of them?  I've used pre-registration in different fields/topics and the experience is not the same.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"7
Improved"	Not applicable	Not applicable	Strongly Agree
R_pEsdKltHdn0yoxP	107	Usually	Very Strongly Disagree	Hypothesis testing	NA	social psychology	prereg	NA	NA	6	6	6	"4
Did not change"	5	"4
Did not change"	6	"4
Did not change"	"4
Did not change"	Agree
R_2VqGz6HTdk71EPx	169	Frequently	Agree	Hypothesis testing	NA	Cognitive psychology	prereg	NA	NA	5	5	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	3	"4
Did not change"	Agree
R_2R3bmSMygb7JwTM	206	Frequently	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA	"4
Did not change"	"4
Did not change"	5	5	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Agree
R_23eiIOJa7SaOcVw	96	Usually	Very Strongly Agree	Hypothesis testing	NA	moral/social psychology	prereg	yay pre-registration!	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Did not change"	3	"4
Did not change"	2	3	Strongly Agree
R_32W56gsmex6DLzm	7298	Always	Very Strongly Agree	Modeling	NA	Public health	prereg	I preregistered a systematic review in a controversial area (gaming disorder). It was rejected from 4 journals until I asked for it to be reviewed by methods specialists. It seems the rigor of studies conducted in line with their preregistered reviews might be underappreciated.	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	6	"4
Did not change"	I do not know	"7
Was reduced"	Very Strongly Agree
R_1CeW7WdTjnws8Qf	207	Always	Strongly Agree	Hypothesis testing	NA	Dev psychology	prereg	NA	NA	6	6	6	5	5	5	I do not know	"4
Did not change"	"4
Did not change"	Agree
R_1jdh0ASHTgowpFs	96	Sometimes	Agree	Hypothesis testing	NA	social	prereg	NA	NA	5	5	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Agree
R_1pPEcPZew0F7EsR	144	Frequently	Very Strongly Agree	Hypothesis testing	NA	social-personality	prereg	NA	NA	6	6	6	6	6	"4
Did not change"	5	2	"4
Did not change"	Very Strongly Agree
